ID,name,pitchSharp,pitchFlat,octave,homeKeys,thumb,leftPinky,rightPinky
47,B3,B,n,3,123456,t,n,b
48,C4,C,n,4,123456,t,n,c
49,Csharp4,Csharp,Dflat,4,123456,t,n,s
50,D4,D,n,4,123456,t,n,n
51,Dsharp4,Dsharp,Eflat,4,123456,t,n,p
52,E4,E,n,4,12345,t,n,p
53,F4,F,n,4,1234,t,n,p
54,Fsharp4,Fsharp,Gflat,4,1236,t,n,p
55,G4,G,n,4,123,t,n,p
56,Gsharp4,Gsharp,Aflat,4,123,t,p,p
57,A4,A,n,4,12,t,n,p
58,Asharp4,Asharp,Bflat,4,14,t,n,p
59,B4,B,n,4,1,t,n,p
60,C5,C,n,5,1,n,n,p
61,Csharp5,Csharp,Dflat,5,0,n,n,p
62,D5,D,n,5,23456,t,n,n
63,Dsharp5,Dsharp,Eflat,5,123456,t,n,p
64,E5,E,n,5,12345,t,n,p
65,F5,F,n,5,1234,t,n,p
66,Fsharp5,Fsharp,Gflat,5,1236,t,n,p
67,G5,G,n,5,123,t,n,p
68,Gsharp5,Gsharp,Aflat,5,123,t,p,p
69,A5,A,n,5,12,t,n,p
70,Asharp5,Asharp,Bflat,5,14,t,n,p
71,B5,B,n,5,1,t,n,p
72,C6,C,n,6,1,n,n,p
73,Csharp6,Csharp,Dflat,6,0,n,n,p
74,D6,D,n,6,23,t,n,p
75,Dsharp6,Dsharp,Eflat,6,123456,t,p,p
76,E6,E,n,6,1245,t,n,p
77,F6,F,n,6,134,t,n,p
78,Fsharp6,Fsharp,Gflat,6,136,t,n,p
79,G6,G,n,6,123,n,n,p
80,Gsharp6,Gsharp,Aflat,6,23,n,p,p
81,A6,A,n,6,24,t,n,p